name,company_id,entity_type,summary,stock_ticker,currency,earnings_date,exchange,closing_price,previous_close,open,bid,ask,day_range,week_range,volume,avg_volume,market_cap,beta,pe_ratio,eps,dividend_yield,ex_dividend_date,target_est,url,people_also_watch,similar,risk_score,risk_score_text,risk_score_percentile,recommendation_rating,analyst_price_target,company_profile_address
"Yantai Eddie Precision Machinery Co., Ltd. (603638.SS)",603638.SS,EQUITY,Shanghai - Delayed Quote  • CNY,603638.SS,CNY,,up,16.59,15.95,16.3,16.59,16.62,16.16 - 16.66,13.25 - 18.88,6770940,2684743,13907977216,1.048,44.837837,0.37,0.12 (0.75%),2024-06-18,19,https://finance.yahoo.com/quote/603638.SS/,"[{""last_price"":50.66,""perc_change"":""-2.56%"",""symbol"":""603338.SS""},{""last_price"":51.5,""perc_change"":""-1.32%"",""symbol"":""601100.SS""},{""last_price"":44.26,""perc_change"":""+4.12%"",""symbol"":""603737.SS""},{""last_price"":29.02,""perc_change"":""-0.34%"",""symbol"":""603899.SS""},{""last_price"":85.43,""perc_change"":""-0.74%"",""symbol"":""603345.SS""},{""last_price"":19.02,""perc_change"":""-4.85%"",""symbol"":""600988.SS""},{""last_price"":13.05,""perc_change"":""+0.46%"",""symbol"":""603218.SS""},{""last_price"":203.56,""perc_change"":""-2.09%"",""symbol"":""603444.SS""},{""last_price"":56.42,""perc_change"":""-1.64%"",""symbol"":""603606.SS""},{""last_price"":20.49,""perc_change"":""-1.59%"",""symbol"":""603568.SS""},{""last_price"":18.64,""perc_change"":""+2.03%"",""symbol"":""603806.SS""},{""last_price"":137.18,""perc_change"":""+2.21%"",""symbol"":""601799.SS""},{""last_price"":5.98,""perc_change"":""-1.48%"",""symbol"":""603866.SS""},{""last_price"":59.92,""perc_change"":""-1.72%"",""symbol"":""603198.SS""},{""last_price"":34.07,""perc_change"":""-9.99%"",""symbol"":""603882.SS""},{""last_price"":32.95,""perc_change"":""+2.11%"",""symbol"":""603816.SS""}]","[{""last_price"":16.59,""perc_change"":""+4.01%"",""symbol"":""603638.SS""},{""last_price"":20.34,""perc_change"":""-2.68%"",""symbol"":""NNE""}]",,,,2.7,"{""average"":19,""current"":16.59,""high"":20,""low"":17.5}","No. 356, Changjiang Road Yantai, 264006 China"
"Mingchen Health Co.,Ltd. (002919.SZ)",002919.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,002919.SZ,CNY,,up,14.88,13.53,13.64,14.88,0,13.40 - 14.88,10.17 - 28.60,17102982,15773728,3965906944,,114.46154,0.13,0.12 (0.92%),2024-05-31,,https://finance.yahoo.com/quote/002919.SZ/,"[{""last_price"":18.84,""perc_change"":""+4.84%"",""symbol"":""002709.SZ""},{""last_price"":50.52,""perc_change"":""-2.28%"",""symbol"":""000799.SZ""},{""last_price"":28.63,""perc_change"":""+0.39%"",""symbol"":""002444.SZ""},{""last_price"":135.53,""perc_change"":""-0.94%"",""symbol"":""000568.SZ""},{""last_price"":17.39,""perc_change"":""-0.06%"",""symbol"":""000913.SZ""},{""last_price"":10.92,""perc_change"":""+0.18%"",""symbol"":""002216.SZ""},{""last_price"":13.26,""perc_change"":""+0.76%"",""symbol"":""000902.SZ""},{""last_price"":16.47,""perc_change"":""-0.66%"",""symbol"":""600315.SS""},{""last_price"":43.64,""perc_change"":""-0.59%"",""symbol"":""002714.SZ""},{""last_price"":8.88,""perc_change"":""-0.67%"",""symbol"":""300138.SZ""},{""last_price"":24.3,""perc_change"":""+0.96%"",""symbol"":""002508.SZ""},{""last_price"":24.87,""perc_change"":""+2.98%"",""symbol"":""300443.SZ""},{""last_price"":7.18,""perc_change"":""-1.51%"",""symbol"":""002027.SZ""},{""last_price"":52.11,""perc_change"":""+0.42%"",""symbol"":""603486.SS""},{""last_price"":19.65,""perc_change"":""-3.91%"",""symbol"":""002832.SZ""},{""last_price"":57.93,""perc_change"":""-1.56%"",""symbol"":""600132.SS""}]","[{""last_price"":14.88,""perc_change"":""+9.98%"",""symbol"":""002919.SZ""},{""last_price"":29.78,""perc_change"":""-3.19%"",""symbol"":""001328.SZ""},{""last_price"":166.16,""perc_change"":""-0.60%"",""symbol"":""PG""}]",,,,1,"{""current"":14.88}","Liannan Industrial Zone Shantou, 515834 China"
"Zhejiang Provincial New Energy Investment Group Co., Ltd. (600032.SS)",600032.SS,EQUITY,Shanghai - Delayed Quote  • CNY,600032.SS,CNY,,up,8.11,8.04,8.04,8.11,8.12,8.04 - 8.21,6.00 - 9.14,8924900,7117700,19501953024,,27.03333,0.3,0.07 (0.87%),2024-09-23,,https://finance.yahoo.com/quote/600032.SS/,"[{""last_price"":9.54,""perc_change"":""+0.42%"",""symbol"":""600021.SS""},{""last_price"":9.75,""perc_change"":""-0.91%"",""symbol"":""600025.SS""},{""last_price"":20.36,""perc_change"":""+2.31%"",""symbol"":""600131.SS""},{""last_price"":7.32,""perc_change"":""+0.14%"",""symbol"":""600116.SS""},{""last_price"":3.32,""perc_change"":""+3.75%"",""symbol"":""601016.SS""},{""last_price"":6.13,""perc_change"":""+1.32%"",""symbol"":""600163.SS""},{""last_price"":6.42,""perc_change"":""+2.23%"",""symbol"":""600098.SS""},{""last_price"":5.85,""perc_change"":""+1.74%"",""symbol"":""600023.SS""},{""last_price"":4.76,""perc_change"":""+3.48%"",""symbol"":""600905.SS""},{""last_price"":7.58,""perc_change"":""+2.02%"",""symbol"":""600095.SS""},{""last_price"":5.75,""perc_change"":""+5.12%"",""symbol"":""600027.SS""},{""last_price"":15.2,""perc_change"":""-1.87%"",""symbol"":""600886.SS""},{""last_price"":7.71,""perc_change"":""+1.72%"",""symbol"":""002608.SZ""},{""last_price"":21.52,""perc_change"":""-0.42%"",""symbol"":""600079.SS""},{""last_price"":5.89,""perc_change"":""-2.81%"",""symbol"":""600057.SS""},{""last_price"":41.93,""perc_change"":""-0.69%"",""symbol"":""600038.SS""}]","[{""last_price"":8.11,""perc_change"":""+0.87%"",""symbol"":""600032.SS""},{""last_price"":10.58,""perc_change"":""+2.72%"",""symbol"":""603693.SS""},{""last_price"":21.27,""perc_change"":""-0.47%"",""symbol"":""0MHC.IL""},{""perc_change"":""+0.97%"",""symbol"":""9511.T""},{""last_price"":39.38,""perc_change"":""+0.05%"",""symbol"":""0A02.IL""},{""last_price"":2.32,""perc_change"":""+1.76%"",""symbol"":""600868.SS""},{""perc_change"":""-0.85%"",""symbol"":""NAP.BD""},{""last_price"":282,""perc_change"":""+1.08%"",""symbol"":""5074.T""},{""last_price"":0.535,""perc_change"":""-0.93%"",""symbol"":""5614.KL""},{""last_price"":274,""perc_change"":""-0.36%"",""symbol"":""1711.T""},{""last_price"":214,""perc_change"":""+1.90%"",""symbol"":""ENEFI.BD""}]",,,,2,"{""current"":8.11}","No. 8 Fengqi East Road Hangzhou, 310020 China"
JSTI Group (300284.SZ),300284.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,300284.SZ,CNY,,down,14.05,14.3,14.2,14.05,14.06,13.96 - 14.70,4.06 - 16.59,126267569,91403028,17742761984,,70.25,0.2,0.12 (0.80%),2024-08-29,10.55,https://finance.yahoo.com/quote/300284.SZ/,"[{""last_price"":8.3,""perc_change"":""+4.14%"",""symbol"":""300133.SZ""},{""last_price"":2.73,""perc_change"":""+0.37%"",""symbol"":""300197.SZ""},{""last_price"":10.02,""perc_change"":""+9.76%"",""symbol"":""300271.SZ""},{""last_price"":5.69,""perc_change"":""+2.71%"",""symbol"":""300182.SZ""},{""last_price"":5.29,""perc_change"":""+0.57%"",""symbol"":""300296.SZ""},{""last_price"":12.73,""perc_change"":""+0.24%"",""symbol"":""300146.SZ""},{""last_price"":9.26,""perc_change"":""+4.75%"",""symbol"":""300180.SZ""},{""last_price"":29.74,""perc_change"":""+1.50%"",""symbol"":""300212.SZ""},{""last_price"":18.62,""perc_change"":""-1.17%"",""symbol"":""300498.SZ""},{""last_price"":5.39,""perc_change"":""+4.66%"",""symbol"":""300287.SZ""},{""last_price"":5.6,""perc_change"":""+0.72%"",""symbol"":""300315.SZ""},{""last_price"":7.89,""perc_change"":""+1.29%"",""symbol"":""300253.SZ""},{""last_price"":4.08,""perc_change"":""+3.03%"",""symbol"":""300324.SZ""},{""last_price"":21.39,""perc_change"":""+5.22%"",""symbol"":""300068.SZ""},{""last_price"":68.78,""perc_change"":""-11.27%"",""symbol"":""300339.SZ""},{""last_price"":24.72,""perc_change"":""-0.40%"",""symbol"":""300136.SZ""}]","[{""last_price"":14.05,""perc_change"":""-1.75%"",""symbol"":""300284.SZ""},{""last_price"":11.46,""perc_change"":""+1.06%"",""symbol"":""002116.SZ""},{""last_price"":12.78,""perc_change"":""-1.69%"",""symbol"":""600133.SS""},{""last_price"":14.75,""perc_change"":""+1.44%"",""symbol"":""600463.SS""},{""last_price"":0.167,""perc_change"":""+1.83%"",""symbol"":""2236.HK""}]",,,,1.5,"{""average"":10.55,""current"":14.05,""high"":10.55,""low"":10.55}","No.8 Fuchunjiang East Street Nanjing, 210019 China"
Gulf Energy Development Public Company Limited (GULF-R.BK),GULF-R.BK,EQUITY,Thailand - Delayed Quote  • THB,GULF-R.BK,THB,2024-11-07 - 2024-11-11,up,66,65.75,65.75,0,0,65.50 - 66.50,47.50 - 66.50,6955500,0,774384582656,0.53,58.92857,1.12,0.88 (1.34%),2024-02-28,,https://finance.yahoo.com/quote/GULF-R.BK/,"[{""last_price"":7.9,""perc_change"":""+2.60%"",""symbol"":""EA-R.BK""},{""last_price"":66,""perc_change"":""+0.38%"",""symbol"":""GULF.BK""},{""last_price"":5.8,""perc_change"":""+1.75%"",""symbol"":""LH-R.BK""},{""last_price"":7.9,""perc_change"":""+2.60%"",""symbol"":""EA.BK""},{""last_price"":24.8,""perc_change"":""-0.40%"",""symbol"":""CPF-R.BK""},{""last_price"":33.75,""perc_change"":""+0.75%"",""symbol"":""PTT-R.BK""},{""last_price"":64,""perc_change"":""+0.39%"",""symbol"":""CPALL-R.BK""},{""last_price"":42.25,""perc_change"":""+0.60%"",""symbol"":""GPSC-R.BK""},{""last_price"":62.5,""perc_change"":""-1.19%"",""symbol"":""CPN-R.BK""},{""last_price"":41,""perc_change"":""+0.61%"",""symbol"":""TOP-R.BK""},{""last_price"":28,""perc_change"":""+0.90%"",""symbol"":""BDMS-R.BK""},{""last_price"":147,""perc_change"":""+1.03%"",""symbol"":""KBANK-R.BK""},{""last_price"":9.65,""perc_change"":""+3.76%"",""symbol"":""HMPRO-R.BK""},{""last_price"":31.5,""perc_change"":""-1.56%"",""symbol"":""RATCH.BK""},{""last_price"":271,""perc_change"":""+1.12%"",""symbol"":""ADVANC-R.BK""},{""last_price"":42.25,""perc_change"":""+0.60%"",""symbol"":""GPSC.BK""}]","[{""last_price"":66,""perc_change"":""+0.38%"",""symbol"":""GULF-R.BK""},{""last_price"":6.76,""perc_change"":""+0.45%"",""symbol"":""AQN.TO""}]",,,,,"{""current"":66}","87 M.Thai Tower Bangkok, 10330 Thailand"
Ritco Logistics Limited (RITCO.BO),RITCO.BO,EQUITY,BSE - Free Realtime Quote  • INR,RITCO.BO,INR,2024-11-07 - 2024-11-11,up,387.3,378.7,384.7,384.8,386.15,378.00 - 398.80,190.30 - 409.40,4191,12950,10969419776,0.682,27.783358,13.94,0.00 (0.00%),,,https://finance.yahoo.com/quote/RITCO.BO/,"[{""last_price"":71.7,""perc_change"":""+4.78%"",""symbol"":""TIGERLOGS.BO""},{""last_price"":57.01,""perc_change"":""-1.04%"",""symbol"":""OBCL.BO""},{""last_price"":28.91,""perc_change"":""+3.07%"",""symbol"":""SBC.BO""},{""last_price"":30.18,""perc_change"":""+0.87%"",""symbol"":""LANCER.BO""},{""last_price"":44,""perc_change"":""-2.16%"",""symbol"":""INTSTOIL.BO""},{""last_price"":220,""perc_change"":""+1.12%"",""symbol"":""PANCHSHEEL.BO""},{""last_price"":22.21,""perc_change"":""+1.05%"",""symbol"":""SINDHUTRAD.BO""},{""last_price"":160,""perc_change"":""+0.47%"",""symbol"":""OMINFRAL.BO""},{""last_price"":184.9,""perc_change"":""+3.59%"",""symbol"":""SMLT.BO""},{""last_price"":800,""perc_change"":""+1.08%"",""symbol"":""SGRL.BO""},{""last_price"":182.25,""perc_change"":""-0.19%"",""symbol"":""TYCHE.BO""},{""last_price"":21.2,""perc_change"":""+1.09%"",""symbol"":""STL.BO""},{""last_price"":411.5,""perc_change"":""+0.28%"",""symbol"":""MAHLOG.BO""},{""last_price"":83.5,""perc_change"":""-4.02%"",""symbol"":""SUNLOC.BO""},{""last_price"":106.5,""perc_change"":""-0.56%"",""symbol"":""ZIMLAB.BO""},{""last_price"":187,""perc_change"":""+2.58%"",""symbol"":""RPPINFRA.BO""}]","[{""last_price"":387.3,""perc_change"":""+2.27%"",""symbol"":""RITCO.BO""},{""last_price"":355.7,""perc_change"":""+0.37%"",""symbol"":""DELHIVERY.BO""}]",,,,,"{""current"":387.3}","Ritco House Gurugram, 122016 India"
Datagate Bilgisayar Malzemeleri Ticaret Anonim Sriketi (DGATE.IS),DGATE.IS,EQUITY,Istanbul - Delayed Quote  • TRY,DGATE.IS,TRY,2024-11-05 - 2024-11-11,--,40.86,40.86,40.3,40.66,40.92,39.40 - 41.88,21.34 - 58.75,837369,615610,1219344128,0.778,,-2.94,0.00 (0.00%),2018-05-29,,https://finance.yahoo.com/quote/DGATE.IS/,"[{""last_price"":6.2,""symbol"":""INDES.IS""},{""last_price"":29.44,""symbol"":""ARENA.IS""},{""last_price"":50.3,""symbol"":""DESPC.IS""},{""last_price"":9.31,""symbol"":""KAREL.IS""},{""last_price"":93.9,""symbol"":""KFEIN.IS""},{""last_price"":104.3,""symbol"":""LOGO.IS""},{""last_price"":17.8,""symbol"":""FONET.IS""},{""last_price"":52.1,""symbol"":""ESCOM.IS""},{""last_price"":73.55,""symbol"":""NETAS.IS""},{""last_price"":20.6,""symbol"":""KRONT.IS""},{""last_price"":122.4,""symbol"":""ALCTL.IS""},{""last_price"":32.24,""symbol"":""ARDYZ.IS""},{""last_price"":524.5,""symbol"":""LINK.IS""},{""last_price"":10.2,""symbol"":""GEREL.IS""},{""last_price"":30.2,""symbol"":""SMART.IS""},{""last_price"":15.57,""symbol"":""GOODY.IS""}]","[{""last_price"":40.86,""symbol"":""DGATE.IS""},{""last_price"":50.3,""symbol"":""DESPC.IS""}]",,,,,"{""current"":40.86}","Ayazaga Mahallesi Istanbul, 34485 Turkey"
Triductor Technology (Suzhou) Inc. (688259.SS),688259.SS,EQUITY,Shanghai - Delayed Quote  • CNY,688259.SS,CNY,,up,40.2,39.15,39.1,39.96,40.15,38.00 - 40.58,25.00 - 56.13,3361964,3088588,4490339840,,64.83871,0.62,0.19 (0.48%),2024-08-13,,https://finance.yahoo.com/quote/688259.SS/,"[{""last_price"":455,""perc_change"":""+2.19%"",""symbol"":""688256.SS""},{""last_price"":20.09,""perc_change"":""+4.20%"",""symbol"":""688206.SS""},{""last_price"":40.45,""perc_change"":""+0.60%"",""symbol"":""688220.SS""},{""last_price"":34.57,""perc_change"":""+2.31%"",""symbol"":""688270.SS""},{""last_price"":86.47,""perc_change"":""+0.76%"",""symbol"":""688981.SS""},{""last_price"":28.33,""perc_change"":""-0.11%"",""symbol"":""300045.SZ""},{""last_price"":88.13,""perc_change"":""-1.63%"",""symbol"":""603893.SS""},{""last_price"":43.63,""perc_change"":""+2.73%"",""symbol"":""001270.SZ""},{""last_price"":27.86,""perc_change"":""+0.62%"",""symbol"":""300341.SZ""},{""last_price"":107.02,""perc_change"":""-0.37%"",""symbol"":""603501.SS""},{""last_price"":68.3,""perc_change"":""-1.13%"",""symbol"":""688008.SS""},{""last_price"":39.45,""perc_change"":""+1.54%"",""symbol"":""9896.HK""},{""last_price"":30.42,""perc_change"":""+1.54%"",""symbol"":""688061.SS""},{""last_price"":143.17,""perc_change"":""+0.90%"",""symbol"":""688279.SS""},{""last_price"":21.4,""perc_change"":""+2.98%"",""symbol"":""688262.SS""},{""last_price"":46.81,""perc_change"":""+3.42%"",""symbol"":""605588.SS""}]","[{""last_price"":40.2,""perc_change"":""+2.68%"",""symbol"":""688259.SS""},{""last_price"":194.48,""perc_change"":""-1.25%"",""symbol"":""TSM""},{""last_price"":148.6,""perc_change"":""-10.62%"",""symbol"":""AMD""},{""last_price"":139.34,""perc_change"":""-1.36%"",""symbol"":""NVDA""}]",,,,2,"{""current"":40.2}","NO.1355 Jin Ji Hu Avenue Suzhou, 215021 China"
"Beijing Dahao Technology Corp.,Ltd (603025.SS)",603025.SS,EQUITY,Shanghai - Delayed Quote  • CNY,603025.SS,CNY,,up,14.8,14.55,14.52,14.8,14.81,14.40 - 14.96,8.00 - 15.71,10525529,6404472,16415717376,1.422,26.90909,0.55,0.30 (2.06%),2024-06-13,,https://finance.yahoo.com/quote/603025.SS/,"[{""last_price"":59.93,""perc_change"":""-1.71%"",""symbol"":""603198.SS""},{""last_price"":2.08,""perc_change"":""+0.98%"",""symbol"":""603077.SS""},{""last_price"":50.63,""perc_change"":""-2.62%"",""symbol"":""603338.SS""},{""last_price"":4.36,""perc_change"":""-2.68%"",""symbol"":""601000.SS""},{""last_price"":8.04,""perc_change"":""-1.23%"",""symbol"":""601117.SS""},{""last_price"":6.17,""perc_change"":""-0.80%"",""symbol"":""603128.SS""},{""last_price"":13.37,""perc_change"":""+2.61%"",""symbol"":""601717.SS""},{""last_price"":3.32,""perc_change"":""+3.74%"",""symbol"":""601016.SS""},{""last_price"":30.74,""perc_change"":""-3.27%"",""symbol"":""601567.SS""},{""last_price"":10.31,""perc_change"":""+0.58%"",""symbol"":""600970.SS""},{""last_price"":16.76,""perc_change"":""-0.83%"",""symbol"":""603858.SS""},{""last_price"":137.17,""perc_change"":""+2.21%"",""symbol"":""601799.SS""},{""last_price"":24.74,""perc_change"":""-1.04%"",""symbol"":""603355.SS""},{""last_price"":30.35,""perc_change"":""-1.78%"",""symbol"":""600885.SS""},{""last_price"":12.09,""perc_change"":""-2.34%"",""symbol"":""601098.SS""},{""last_price"":23.3,""perc_change"":""+8.02%"",""symbol"":""601877.SS""}]","[{""last_price"":14.8,""perc_change"":""+1.72%"",""symbol"":""603025.SS""},{""last_price"":39.7,""perc_change"":""-0.38%"",""symbol"":""4533.TWO""},{""last_price"":77.4,""perc_change"":""-0.39%"",""symbol"":""2464.TW""}]",,,,,"{""current"":14.8}","Building M7 Beijing, 100015 China"
"Jiangsu Xinquan Automotive Trim Co.,Ltd. (603179.SS)",603179.SS,EQUITY,Shanghai - Delayed Quote  • CNY,603179.SS,CNY,,up,50,49.93,51.07,50,50.06,49.48 - 51.89,32.54 - 55.98,6685383,3790057,24365199360,0.831,29.069767,1.72,0.30 (0.60%),2024-06-27,59.33,https://finance.yahoo.com/quote/603179.SS/,"[{""last_price"":43.37,""perc_change"":""-3.54%"",""symbol"":""601689.SS""},{""last_price"":18.2,""perc_change"":""+1.22%"",""symbol"":""603517.SS""},{""last_price"":13,""symbol"":""603305.SS""},{""last_price"":69.39,""perc_change"":""+2.71%"",""symbol"":""603833.SS""},{""last_price"":85.52,""perc_change"":""-0.64%"",""symbol"":""603345.SS""},{""last_price"":12.31,""perc_change"":""+0.16%"",""symbol"":""603027.SS""},{""last_price"":137.17,""perc_change"":""+2.21%"",""symbol"":""601799.SS""},{""last_price"":19.47,""perc_change"":""-1.27%"",""symbol"":""601966.SS""},{""last_price"":157.11,""perc_change"":""-3.20%"",""symbol"":""603129.SS""},{""last_price"":43.82,""perc_change"":""-0.27%"",""symbol"":""603369.SS""},{""last_price"":32.93,""perc_change"":""+2.04%"",""symbol"":""603816.SS""},{""last_price"":9.64,""perc_change"":""-3.31%"",""symbol"":""603730.SS""},{""last_price"":5.87,""perc_change"":""+2.44%"",""symbol"":""603113.SS""},{""last_price"":10.09,""perc_change"":""-1.75%"",""symbol"":""601952.SS""},{""last_price"":13.03,""perc_change"":""+0.31%"",""symbol"":""603218.SS""},{""last_price"":48.52,""perc_change"":""-2.08%"",""symbol"":""603596.SS""}]","[{""last_price"":50,""perc_change"":""+0.14%"",""symbol"":""603179.SS""},{""last_price"":99.7,""perc_change"":""-3.20%"",""symbol"":""3552.TWO""},{""last_price"":76,""perc_change"":""+4.83%"",""symbol"":""2497.TW""}]",,,,1.4,"{""average"":59.33,""current"":50,""high"":62,""low"":55.34}","No. 555 Huanghe West Road Changzhou, 213022 China"
AB Sagax (publ) (SAGA-D.ST),SAGA-D.ST,EQUITY,Stockholm - Delayed Quote  • SEK,SAGA-D.ST,SEK,2024-10-25 - 2024-10-25,down,32.05,32.2,32.25,32.05,32.1,32.00 - 32.30,25.35 - 34.25,221512,229257,91297947648,1.466,3.061127,10.47,3.10 (9.63%),2024-12-27,,https://finance.yahoo.com/quote/SAGA-D.ST/,"[{""last_price"":257.8,""perc_change"":""-1.00%"",""symbol"":""SAGA-B.ST""},{""last_price"":9.29,""perc_change"":""+0.43%"",""symbol"":""SBB-D.ST""},{""last_price"":258,""perc_change"":""-1.53%"",""symbol"":""SAGA-A.ST""},{""last_price"":51.2,""perc_change"":""-2.10%"",""symbol"":""WALL-B.ST""},{""last_price"":82.98,""perc_change"":""-0.95%"",""symbol"":""BALD-B.ST""},{""last_price"":112.9,""perc_change"":""-0.70%"",""symbol"":""WIHL.ST""},{""last_price"":134.75,""perc_change"":""-1.53%"",""symbol"":""CAST.ST""},{""last_price"":85.75,""perc_change"":""-1.49%"",""symbol"":""FABG.ST""},{""last_price"":119,""perc_change"":""-1.90%"",""symbol"":""STE-R.ST""},{""last_price"":127.3,""perc_change"":""-1.32%"",""symbol"":""HUFV-A.ST""},{""last_price"":233.1,""perc_change"":""-1.06%"",""symbol"":""AXFO.ST""},{""last_price"":420.6,""perc_change"":""-1.73%"",""symbol"":""HOLM-B.ST""},{""last_price"":109.9,""perc_change"":""-3.17%"",""symbol"":""NYF.ST""},{""last_price"":189.8,""perc_change"":""-2.37%"",""symbol"":""PNDX-B.ST""},{""last_price"":160.9,""perc_change"":""+0.12%"",""symbol"":""BEIJ-B.ST""},{""last_price"":79.9,""perc_change"":""-0.81%"",""symbol"":""PEAB-B.ST""}]","[{""last_price"":32.05,""perc_change"":""-0.47%"",""symbol"":""SAGA-D.ST""},{""last_price"":1.654,""perc_change"":""+0.24%"",""symbol"":""AKEL-D.ST""},{""last_price"":179,""perc_change"":""-0.28%"",""symbol"":""KAPIAB.ST""},{""last_price"":30.85,""perc_change"":""-1.75%"",""symbol"":""NP3-PREF.ST""},{""last_price"":172.7,""perc_change"":""-1.62%"",""symbol"":""CIBUS.ST""}]",,,,,"{""current"":32.05}","Engelbrektsplan 1 Stockholm, 114 34 Sweden"
"American Eagle Outfitters, Inc. (AFG.F)",AFG.F,EQUITY,Frankfurt - Delayed Quote  • EUR,AFG.F,EUR,2024-11-19 - 2024-11-25,down,18.4,18.7,18.4,18,18.7,18.40 - 18.40,15.01 - 24.40,40,0,3533977600,1.48,15.862069,1.16,0.47 (2.54%),2024-10-11,39.83,https://finance.yahoo.com/quote/AFG.F/,"[{""last_price"":21.28,""perc_change"":""-2.88%"",""symbol"":""WOO.F""},{""last_price"":33.6,""perc_change"":""-1.18%"",""symbol"":""UOF.F""},{""last_price"":18.18,""perc_change"":""-8.19%"",""symbol"":""MKO.F""},{""last_price"":51,""perc_change"":""-0.97%"",""symbol"":""HCH.F""},{""last_price"":86.2,""perc_change"":""+1.06%"",""symbol"":""SZ2.F""},{""last_price"":125.16,""symbol"":""AFT.F""},{""last_price"":44.47,""perc_change"":""-1.68%"",""symbol"":""COY.F""},{""last_price"":19.66,""perc_change"":""-1.31%"",""symbol"":""GAP.F""},{""last_price"":281.5,""perc_change"":""-0.27%"",""symbol"":""33L.F""},{""last_price"":70,""perc_change"":""+0.72%"",""symbol"":""CUW.F""},{""last_price"":48,""perc_change"":""-1.64%"",""symbol"":""PP1.F""},{""last_price"":234,""symbol"":""BUI.F""},{""last_price"":7.88,""perc_change"":""+3.57%"",""symbol"":""XER2.F""},{""last_price"":187.56,""perc_change"":""+0.20%"",""symbol"":""PRL.F""},{""last_price"":242.75,""perc_change"":""+0.31%"",""symbol"":""MAQ.F""},{""last_price"":82.92,""perc_change"":""-0.26%"",""symbol"":""BUY.F""}]","[{""last_price"":18.4,""perc_change"":""-1.60%"",""symbol"":""AFG.F""},{""last_price"":139.59,""perc_change"":""+0.42%"",""symbol"":""ROST""}]",,,,2.2,"{""average"":39.83,""current"":18.4,""high"":49,""low"":29}","77 Hot Metal Street Pittsburgh, PA 15203-2329 United States"
Yantai Changyu Pioneer Wine Company Limited (000869.SZ),000869.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,000869.SZ,CNY,,down,23.06,23.32,23.32,23.05,23.06,22.94 - 23.38,19.40 - 27.82,1816194,1720536,12405772288,0.705,48.041668,0.48,0.50 (2.14%),2024-06-17,27.8,https://finance.yahoo.com/quote/000869.SZ/,"[{""last_price"":10.18,""perc_change"":""+0.99%"",""symbol"":""000729.SZ""},{""last_price"":24.88,""perc_change"":""-1.50%"",""symbol"":""000895.SZ""},{""last_price"":146.99,""perc_change"":""-1.22%"",""symbol"":""000858.SZ""},{""last_price"":8.62,""perc_change"":""+0.70%"",""symbol"":""200869.SZ""},{""last_price"":135.5,""perc_change"":""-0.96%"",""symbol"":""000568.SZ""},{""last_price"":56.97,""perc_change"":""-1.62%"",""symbol"":""000538.SZ""},{""last_price"":17.96,""perc_change"":""+2.05%"",""symbol"":""000792.SZ""},{""last_price"":9.26,""perc_change"":""+0.43%"",""symbol"":""000002.SZ""},{""last_price"":13.26,""perc_change"":""+0.08%"",""symbol"":""000625.SZ""},{""last_price"":8.21,""perc_change"":""-0.84%"",""symbol"":""000983.SZ""},{""last_price"":8.59,""perc_change"":""-0.69%"",""symbol"":""000039.SZ""},{""last_price"":1.86,""perc_change"":""+5.08%"",""symbol"":""002024.SZ""},{""last_price"":2.45,""perc_change"":""+0.82%"",""symbol"":""000898.SZ""},{""last_price"":187.78,""perc_change"":""+0.79%"",""symbol"":""000596.SZ""},{""last_price"":13.09,""perc_change"":""-0.08%"",""symbol"":""000878.SZ""},{""last_price"":17.72,""perc_change"":""+1.26%"",""symbol"":""000581.SZ""}]","[{""last_price"":23.06,""perc_change"":""-1.12%"",""symbol"":""000869.SZ""},{""last_price"":63.12,""perc_change"":""-0.75%"",""symbol"":""600702.SS""}]",,,,2,"{""average"":27.8,""current"":23.06,""high"":27.8,""low"":27.8}","No. 56 Da Ma Lu Yantai, 264000 China"
